127.0.0.1 - - [26/May/2025:10:16:59 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [26/May/2025:10:17:00 +0530] "GET /Mjbc04/ HTTP/1.1" 200 4717
0:0:0:0:0:0:0:1 - - [26/May/2025:10:17:01 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [26/May/2025:10:17:41 +0530] "GET /Mjbc04/login.jsp HTTP/1.1" 200 4169
0:0:0:0:0:0:0:1 - - [26/May/2025:10:17:49 +0530] "GET /Mjbc04/Register.jsp HTTP/1.1" 200 5142
0:0:0:0:0:0:0:1 - - [26/May/2025:10:17:54 +0530] "GET /Mjbc04/SP.jsp HTTP/1.1" 200 10734
0:0:0:0:0:0:0:1 - - [26/May/2025:10:18:10 +0530] "GET /Mjbc04/SP.jsp HTTP/1.1" 200 10719
0:0:0:0:0:0:0:1 - - [26/May/2025:10:18:20 +0530] "GET /Mjbc04/login.jsp HTTP/1.1" 200 4169
0:0:0:0:0:0:0:1 - - [26/May/2025:10:18:42 +0530] "POST /Mjbc04/login HTTP/1.1" 200 4189
0:0:0:0:0:0:0:1 - - [26/May/2025:10:18:54 +0530] "POST /Mjbc04/login HTTP/1.1" 200 4189
0:0:0:0:0:0:0:1 - - [26/May/2025:10:18:56 +0530] "GET /Mjbc04/Register.jsp HTTP/1.1" 200 5142
0:0:0:0:0:0:0:1 - - [26/May/2025:10:20:04 +0530] "POST /Mjbc04/Register HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/May/2025:10:20:04 +0530] "GET /Mjbc04/Register.jsp?sucess=true HTTP/1.1" 200 5142
0:0:0:0:0:0:0:1 - - [26/May/2025:10:20:08 +0530] "GET /Mjbc04/login.jsp HTTP/1.1" 200 4169
0:0:0:0:0:0:0:1 - - [26/May/2025:10:20:27 +0530] "POST /Mjbc04/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/May/2025:10:20:27 +0530] "GET /Mjbc04/dashboard.jsp HTTP/1.1" 200 3080
0:0:0:0:0:0:0:1 - - [26/May/2025:10:20:39 +0530] "GET /Mjbc04/login.jsp HTTP/1.1" 200 4169
0:0:0:0:0:0:0:1 - - [26/May/2025:10:20:51 +0530] "POST /Mjbc04/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/May/2025:10:20:51 +0530] "GET /Mjbc04/dashboard.jsp HTTP/1.1" 200 3080
0:0:0:0:0:0:0:1 - - [26/May/2025:10:20:54 +0530] "GET /Mjbc04/upload.jsp HTTP/1.1" 200 3467
0:0:0:0:0:0:0:1 - - [26/May/2025:10:23:27 +0530] "POST /Mjbc04/UploadServlet HTTP/1.1" 200 3546
0:0:0:0:0:0:0:1 - - [26/May/2025:10:23:40 +0530] "GET /Mjbc04/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/May/2025:10:23:40 +0530] "GET /Mjbc04/login.jsp HTTP/1.1" 200 4169
0:0:0:0:0:0:0:1 - - [26/May/2025:10:23:42 +0530] "GET /Mjbc04/SP.jsp HTTP/1.1" 200 10719
0:0:0:0:0:0:0:1 - - [26/May/2025:10:25:12 +0530] "POST /Mjbc04/SP HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/May/2025:10:25:12 +0530] "GET /Mjbc04/spdashboard.jsp HTTP/1.1" 200 2983
0:0:0:0:0:0:0:1 - - [26/May/2025:10:25:24 +0530] "GET /Mjbc04/userRequest.jsp HTTP/1.1" 200 2077
0:0:0:0:0:0:0:1 - - [26/May/2025:10:25:24 +0530] "GET /Mjbc04/userRequest.jsp HTTP/1.1" 200 2077
0:0:0:0:0:0:0:1 - - [26/May/2025:10:25:41 +0530] "GET /Mjbc04/UserDetails.jsp HTTP/1.1" 200 2743
0:0:0:0:0:0:0:1 - - [26/May/2025:10:26:34 +0530] "GET /Mjbc04/index.html HTTP/1.1" 200 4717
0:0:0:0:0:0:0:1 - - [26/May/2025:10:26:36 +0530] "GET /Mjbc04/login.jsp HTTP/1.1" 200 4169
0:0:0:0:0:0:0:1 - - [26/May/2025:10:26:42 +0530] "POST /Mjbc04/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/May/2025:10:26:42 +0530] "GET /Mjbc04/dashboard.jsp HTTP/1.1" 200 3080
0:0:0:0:0:0:0:1 - - [26/May/2025:10:26:44 +0530] "GET /Mjbc04/upload.jsp HTTP/1.1" 200 3467
0:0:0:0:0:0:0:1 - - [26/May/2025:10:27:17 +0530] "POST /Mjbc04/UploadServlet HTTP/1.1" 200 3546
0:0:0:0:0:0:0:1 - - [26/May/2025:10:27:23 +0530] "GET /Mjbc04/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/May/2025:10:27:23 +0530] "GET /Mjbc04/login.jsp HTTP/1.1" 200 4169
0:0:0:0:0:0:0:1 - - [26/May/2025:10:27:26 +0530] "GET /Mjbc04/SP.jsp HTTP/1.1" 200 10723
0:0:0:0:0:0:0:1 - - [26/May/2025:10:27:31 +0530] "POST /Mjbc04/SP HTTP/1.1" 302 -
